GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-PA4714	3552.87365100059	1.80241648558563	0.124265463490302	14.5045649447587	1.13353880941397e-47	2.47659427080493e-46
gene-PA2171	203.782629121717	2.67036584944135	0.185618726040524	14.3862955338803	6.30856141218424e-47	1.37181453349855e-45
gene-PA2811	362.107328993558	1.96330744098322	0.136735659155662	14.3584157425106	9.43595526201958e-47	2.04224196046527e-45
gene-PA3487	1299.95652006848	1.53065824517747	0.106697230653529	14.3458104376474	1.13170466552672e-46	2.43792453648512e-45
gene-PA1196	763.423560586969	-1.66846912287623	0.116442311156452	-14.3287187132044	1.4476686248489e-46	3.10407086537369e-45
gene-PA3231	183.556522986011	2.46402314771157	0.172266930817149	14.3035180113993	2.08022108171511e-46	4.43973110495679e-45
gene-PA1946	5205.42425762317	-1.57264412431537	0.110014941638926	-14.2948230566432	2.35704115552675e-46	5.00735471289324e-45
gene-PA4464	1266.14295643539	1.36722176618657	0.0957950729619714	14.2723599858766	3.25378199013131e-46	6.88070411674557e-45
gene-PA3629	2276.77490201435	1.42857958406553	0.100180320527654	14.260081985575	3.87998408692978e-46	8.16745508709876e-45
gene-PA3526	3450.63722831098	-1.57098713797509	0.110238113441974	-14.250852894013	4.42839516648874e-46	9.27950078068777e-45
gene-PA3570	1071.26692781466	1.70681624235778	0.119862643274488	14.2397680856173	5.18990006427227e-46	1.08259906318078e-44
